sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G264,"Bukti real masyarakat kita masih SDM RENDAH tepatnya terjadi di daerah gue, kemarin gue ngopi di warkop ada beberapa anak muda & orang tua yang ngopi sambil main slot, gue tunjukin lah video ini eh malah disuruh stop sambil ngetawain & bilang “hari gini masih percaya pesulap” jujur gue emosi & berharap semoga pelaku judi ditangkap lalu diasingkan.",relevan,judi_online_pinjol,R2,3,
G265,@Dospemz Mohom maaf mau tanya apakah disini komdigi akan bertanggung jawab apabila ada kebocoran data nasabah bca? Atau ini memang kesalahan dari pihak BCA?,tidak_relevan,,,3,
G266,Saya udah 2kali di bobol dengan jumlah yg sama dalam 2mingu ini.dan barusan pagi uang saya cek sore mau di ambil udah raip di BCA tlg BCA kembalikan uang saya .cuma uang receh an juga tilep.jahat banget .BCa.parah,relevan,peretasan_pencurian_identitas,R1,3,
G267,"Sebelum melihat konten ini, saya selalu penasaran bagaimana supaya modal balik, tapi setelah konten ini mata saya jd terbuka untuk komitmen berhenti judol. Walaupun kalah hmpir 300 juta,. Saya ikhlas dunia akhirat harta itu habis asalkan saya stop judi",relevan,judi_online_pinjol,R1,3,
G268,"Gw sekarang bukan takut dibidang kreatif bakalan pekerjaan bisa digantikan atau hilang dengan adanya AI generate deepfake gini,tapi takut beneran kayak dipake buat kriminal,apalagi kita hidup di negara Indonesia,yang regulasi AInya belum ada,hukumnya belum jelas, Instasi kita banyak yang cacad, keamanan data cyber kita masih sering kecolongan, ditambah SDM kita masih ada yang rada rada Kalo masih hidup di Indonesia gw gak bakal terus mikir positif tentang kemajuan AI",relevan,deepfake_penipuan_ai,R5,4,
G269,beli hapenya dari mana ? 2nd kayanya ini pasti.. bisa jadi sudah di tanam malware apk undangan mantan atau apk paket unknown dari kurir iblis,relevan,malware_apk,R2,3,
G270,Mas dea kalo allow permission di website bkn d Apk bahaya gak ya,tidak_relevan,,,2,
G271,baru bulan kemarin Bapak juga hampir ketipu dia udah hampir ngasih kode OTP ke si penipu untung ketauan langsung gw ambil HPnya,relevan,phishing_rekayasa_sosial,R2,4,
G272,Game win karnival aman gak bg?,relevan,judi_online_pinjol,R4,2,
G273,Ini Cara Kenali QRIS Palsu biar Tak Tertipu https://t.co/vhJY0Myk1I,relevan,penipuan_ewallet_qris,R3,4,
G274,"Bang bongkar kecurangan togel, pliss",relevan,judi_online_pinjol,R5,2,
G275,"@danawallet awas qris palsu gais, thanks min infonya mantul",relevan,penipuan_ewallet_qris,R3,5,
G276,Modus Pelaku Tempel QRIS Palsu: Ngaku Panitia Restorasi Masjid https://t.co/pb009A7XG4,relevan,penipuan_ewallet_qris,R5,3,
G277,"Hhaahah kalau iklan kita ga tau ya sob, intinya jangan coba coba pinjol sama judol dehh",relevan,judi_online_pinjol,R3,4,
G278,Oh ternyata judi di apl playstore forexx😂,relevan,judi_online_pinjol,R2,2,
G279,"Blokir 3,4 Juta Situs, Komdigi Catat Perputaran Duit Judi Online Turun 30 Persen 

https://t.co/sRmYquTA6n",relevan,judi_online_pinjol,R5,3,
G280,"@beezyph @beezyph Hi Kak. Kami memahami kekhawatiran Kakak. Kami infokan bahwa layanan bantuan DANA di WhatsApp sudah tidak tersedia. Mohon Kakak selalu waspada terhadap modus penipuan yang mengatasnamakan DANA ya. Jangan pernah bagikan kode OTP, PIN, atau klik link sembarangan. Thx -AF-",relevan,penipuan_ewallet_qris,R3,3,
G281,"Semoga bang ronal trus di undang di channel channel podcast bahkan di Tv, agar semakin banyak orang yang paham akan bahayanya judol untuk mental, sosial dan ekonomi",relevan,judi_online_pinjol,R3,3,
G282,kalau ga diinstall ga akan terjadi apa2 kan,tidak_relevan,,,5,
G283,"Ini (deepfake) objeknya bisa dipake seperti orang yang sudah meninggal, ya?",relevan,deepfake_penipuan_ai,R5,2,
G284,Menurut saya yg pantas dijadikan bjorka itu anda bro. Bukan yg virall kemarin.😆😁😆😆😆😆😆😇👍,relevan,peretasan_pencurian_identitas,R5,3,
G285,"bukan deep fake itu. polisi palsu itu aja bahkan ga pake lencana polisi. sampean aja yg lagi ga fokus,mas.",relevan,deepfake_penipuan_ai,R2,3,
G286,kasian si marsel di tipu,tidak_relevan,,,5,
G287,"Nah bnr. Sya pake android sejak thn 2013 aman"" aja, selama g asal install apk, g asal ksh perizinan di hp.

Hrsnya aman kl spryi sya.",relevan,malware_apk,R3,5,
G288,"@Anak__Ogi @meutya_hafid tanpa memihak siapapun, saya hanya sedikit salfok dgn komdigi ini berarti mereka punya power sebesar itu di ranah ITE ini yahh. tpi kok perihal kebocoran data, dn judol itu seperti hampir tdk ada langkah konkret utk mengatasinya yah",relevan,peretasan_pencurian_identitas,R5,3,
G289,"ShinyHunters dilapor mengeluarkan amaran akhir kepada Rockstar untuk membayar wang tebusan sebelum Selasa, 14 April 2026, atau berdepan risiko kebocoran data secara besar-besaran di dark web.

#AWANInews #AWANI745

https://t.co/Dnyb0PTdlX",relevan,peretasan_pencurian_identitas,R5,3,
G290,"Aku juga pernah kokk kuras dg bank yg sama mba, dan tidak ada kelanjutan setelah lapor polri.. Semangat mba semoga bisa tuntas",tidak_relevan,,,4,
G291,Ga harus masukin kode referral diawal pendaftaran berarti ya kak? Soalnya mau install apk ini cuma mau dpt cashback doang,tidak_relevan,,,2,
G292,"Jujur bg topiknya bagus, tapi saran aja kalo narsum baru ngejelasin sedikit gausah nyeletuk, jadi bukan nyaman malah pusing nontonnya, harus ada waktunya lah kalo mau nanya, saran aja.",tidak_relevan,,,5,
G293,Akun Twitter Presiden FIFA Diretas http://t.co/Alfn0Co8RO,tidak_relevan,,,4,
G294,"Beberapa hal yang kita bisa lakukan sekarang itu :
- mengenali ciri-ciri deepfake/face swap
- merendahkan pelaku dan bukan korban
- empati terhadap korban
- memiliki kesadaran kalo nyebarin fogil itu kelakuan freak no life!!! https://t.co/Oh0QcItrFT",relevan,deepfake_penipuan_ai,R3,4,
G295,ada yang buka jasa hack ig ga yaa????😭😭😭😭 perlu bgttt help (buat hack akun sndiri kok),relevan,peretasan_pencurian_identitas,R1,3,
G296,Aslinya pengen gini juga tapi sadly aku parnoan sama penipu 😞 cara mereka sekarang nih pinter pinter bgt dan bikin makin susah bedain mana yg beneran kesulitan dan mana yg nipu. Mana aku orangnya terbilang naif juga pula 🥲 jd sasaran empuk bgt.,relevan,phishing_rekayasa_sosial,R2,4,
G297,Bongkar trs bang kebusukan judol supaya masyarakat Indonesia tau,relevan,judi_online_pinjol,R2,3,
G298,"Selama ini, kalau ada serangan siber skala besar (seperti ransomware di PDN atau kebocoran data), penanganannya seringkali belum optimal.

Kita punya BSSN, Komdigi, dan Polri, tapi tanpa UU KKS, belum ada ""komando tunggal"" yang jelas siapa berbuat apa saat krisis siber terjadi.",relevan,peretasan_pencurian_identitas,R5,4,
G299,"Tapi tidak semua end user bisa memahami, atau bahkan bisa mengaplikasikan cara ini ke hapenya. Semoga kita semua terhindar dari hal pencurian data begini.",relevan,peretasan_pencurian_identitas,R3,4,
G300,"Beberapa waktu lalu juga kan ada yang baru ditangkap terkait APK penipuan ini. Kalau mau baca-baca soal gimana mengenali APK tersebut bisa ke sini:

https://t.co/watfWAsDOR",relevan,malware_apk,R3,4,
G301,capek ngasi tau orang candu judol.,relevan,judi_online_pinjol,R5,3,
G302,Bahas tentang togel juga bang marssell,tidak_relevan,,,4,
G303,Ini baru konten pemberantas judi,tidak_relevan,,,3,
G304,ya ini kan yg di contohkan slot,relevan,judi_online_pinjol,R2,3,
G305,percuma bang ente bocorin oknum judol....sekarang udah parah banget ada yang mencuri demi judol ada yang maling motor demi judol bahkan ada yang sampe durhaka sama orang tua demi judol.....yang bikin heran lagi mereka tidak makan babi tapi pas maen judol sambil baca bismilah 🗿,relevan,judi_online_pinjol,R2,3,
G306,"@MediaKonsumenID @grok @ojkindonesia @bank_indonesia Kemungkinan kebocoran data internal nih

Dulu punya tmrw uob juga gitu beberapa kali ada request otp gitu kayak mau ada transaksi",relevan,peretasan_pencurian_identitas,R2,4,
G307,"Judi itu hilang dengan sendiri nya, contoh si budi punya uang 5 jt. terus dibuat judi 5 jt.. kalah.. apakah dia bisa main lagi ? Tidak.. karena kehabisan uang... Berhenti dengan sendiri nya",relevan,judi_online_pinjol,R2,4,
G308,Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid mengatakan saat ini krisis deepfake semakin mengancam ketahanan negara. Meutya menyoroti besarnya dampak kejahatan siber di Indonesia dan mengungkap nilai kerugian akibat penipuan digital atau scam di Indonesia mencapai https://t.co/UZpib2ldrZ,relevan,deepfake_penipuan_ai,R5,3,
G309,"Mau berhenti godaannya memang tinggi. Iklan slot ga ada habisnya😅, harus tetap percaya bahwa slot adalah hoax dan jangan berharap uang yg telah hilang bakal balik",relevan,judi_online_pinjol,R3,4,
G310,"Judi itu mainannya orang ""kaya"", Karena tidak ada orang ""kaya"" itu ""bodoh"", Mereka paham mereka tidak akan menggunakan ""uang"" mereka untuk hal2 yang ""merugikan""",relevan,judi_online_pinjol,R2,3,
G311,"Saksikan Pastikan Sahih

""Penipuan AI Scam""

Sabtu | 28 Mac 2026 | 4 petang

'Yang sahih di RTM'
#RTM #BeritaRTM #MalaysiaMadani #TaatSetia #BersamaMALAYSIAKU #RancakkanMADANI #MADANIBekerja https://t.co/kWGg0NQUJg",relevan,deepfake_penipuan_ai,R2,2,
G312,"coba diagnosa tu hp, soalnya temen pernah kena gitu, dia ngga ngaku kalo kena apk biadab, dia koar koar uang 5 jt hilang, karena kesulitan mencari masalahnya saya suruh flash hpnya dan instal ulang apk bcanya, akhirnya aman. setelah berapa minggu dia ngaku kalo pernah dapat whatsapp apk e-tilang dan ke install.",relevan,malware_apk,R2,4,
G313,Mana pemerintah katax akan blokir smua situs judol. Tpi kok masih byak.,tidak_relevan,,,2,
G314,Hanya orang bodoh yang percaya judi bikin kaya..yg kaya itu bandar namanya judi mau jenis judi apapun,relevan,judi_online_pinjol,R2,3,
G315,"Deepfake makin canggih.
Besok-besok ada penipuan &amp; pelecehan pakai muka kita

&gt; Setelah 22 &gt; Indomaret &gt; Arsenal  &gt; After 22 &gt; Arteta &gt; UFO &gt; copot gubernur bi &gt; The Gunners &gt; copot gubernur bi &gt; Pagii &gt; Sarapan",relevan,deepfake_penipuan_ai,R2,3,
G316,soceng meresahkan terimakasih bank bri,tidak_relevan,,,3,
G317,Dari brimo juga bisa kok isi pulsa,tidak_relevan,,,5,
G318,Berbagai modus penipuan baru di industri keuangan terus muncul mengelabui para korban. Terbaru marak penipuan QRIS palsu dalam metode pembayaran. https://t.co/7fjunGLV8e,relevan,penipuan_ewallet_qris,R2,4,
G319,Mantappp banggg sukses selalu,tidak_relevan,,,5,
G320,"kaget banget tiba-tiba di spam di grup, karna salah akun anj😭😭 https://t.co/Rem8IVlzZN",tidak_relevan,,,5,
G321,Tarima kasih edukasi nya pasti banyak yg sadari,tidak_relevan,,,5,
G322,"Ada berita ibu"" Di malang kebobolan 1,4 m dari apk undangan nikah. 

Endingnya cari info ke mr bert taunya uda 5 bulan yg lalu dibahas.",relevan,malware_apk,R2,4,
G323,"@republiketawarga62  kocak emang di tunjukin juga potkes ini ke orang2 yang udah kecanduan judol, juga kagak bakal paham.",relevan,judi_online_pinjol,R2,3,
G324,Mantap mas marcel biar penjudi slot bisa tobat wkwk,tidak_relevan,,,3,
G325,Dari game maupun tiktok dan Snack video.. benar benar di luar dugaan orang yang berhati iblis menipu banyak korban.. itulah bangsa kita.. pintar tapi berbahaya.. nangudzubillahimndzalik... Semoga cepat kembali ke jalan yang benar..amin... wassalam,relevan,phishing_rekayasa_sosial,R3,3,
G326,@tanyarlfes yang tau jasa hack wa? urgent bgt plis,relevan,peretasan_pencurian_identitas,R5,3,
G327,"masalahnya adalah agak susah jelasin teknis seperti itu ke pengguna yang agak awam apalagi berumur, jadi biar lebih gampang, kalo ada begituan bilang ane pasti bilang bahaya itu virus (mo bilang malware ntar perlu penjelasan lagi wkwk), terus di delete dan di blok, jauh lebih simpel",tidak_relevan,,,4,
G328,"Hati hati bang, lu bisa di pidanakan loh sama pencuri itu. Walaupun penipu itu salah, Lu juga salah melakukan hacking, pencurian data pribadi, penyebaran data pribadi. Gw bukan ngebela si pencuri tapi tindakan lu juga salah walaupun niat lu baik. Sebaiknya di laporkan saja ke polisi, biarkan mereka yang mengurus hal tersebut.",relevan,peretasan_pencurian_identitas,R3,4,
G329,"@aintyournymph @tanyarlfes Modusnya: Pelaku beli data bocor (KTP+selfie), apply pinjol atas nama lo. Uang cair ke rekening lo, lalu mereka bilang ""salah transfer"" minta balik. Jangan pernah dikembalikan. Utang tetap atas nama lo.
Data selfie biasanya dari kebocoran pinjol lama atau lowongan kerja abal-abal",relevan,phishing_rekayasa_sosial,R3,3,
G330,"Sy ucapkan selamat dan terima kasih sama abang ini krna udh memilih kembali ke jalan yg benar,jgn memilih harta haram yg melimpah tp pikirkan saat waktu kematian kita datang,,mksh bang marcell udh bongkar judol ini,,semoga banyak yg berhenti judol",relevan,judi_online_pinjol,R2,3,
G331,Bg tolong brantas judi HIGS DOMINO,relevan,judi_online_pinjol,R5,2,
G332,"Bang mau tanya, tp kalau misalkan kita sendiri yg install apk itu sendiri, apakah itu termasuk kena tipu atau, data kita masuk kesana atau justru aman aman sj, karena kita yg instal lngsung dr play store sendiri??🙏🙏",relevan,malware_apk,R1,2,
G333,"Okeh bg trimakasih atas pengalaman nya tadinya aku kejebak aku download apk yg abang saran kan lngsng kedeteksi link orang gk kenal ,pokok nya sehat trs bg dilancarkan rejeki nya makasih inpo nya bg mantap",relevan,malware_apk,R1,2,
G334,Harus viral ini titik cerah untuk membuka mata para pemain juddol yg terjerumus game on-line slot Semoga CPT berhenti Trimakasih BG Marsel Saya juga mantan pemain game judol Alhamdulillah skrng SDH berhenti,relevan,judi_online_pinjol,R3,2,
G335,Mas bagai mana cara uang saya hilang di bank di trasfer ke orang lain nama dan no rekening ada tapi bank ngak bertangung jawab dengan cara brimo embaking tolong mas 🙏🙏🙏,tidak_relevan,,,5,
G336,"Kok aneh sih dia ga pernah download/daftar mobile banking tapi si penipu bisa pakai app mobile banking, pdhl klo mau pakai mobile banking kan harus otp dan daftar ini itu yg ribet, termasuk poto nasabahnya terlebih dahulu baru bisa punya mobile banking.( Klo Ini yg terjadi, banknya kok agak gmn ya securitynya)

Kecuali klo nasabahnya udah pernah daftar mobile banking/inet banking kemungkinan bisa kena karena apk tsb bisa aja clone data semuanya di hp tsb bahkan termasuk kloning no. sim card (klo ini ada kemungkinan ada oknum org dalam kartu sim tsb). Baru bisa di sedot lewat otp klo si nasabah memberikan akses apk tsb pas awal2 buka apknya.

Harus di selidiki lebih dalam kronologinya dan di trace itu rekening2 penerimanya oleh pihak bank dan pihak2 terkait kemana aja aliran dana dari nasabah korban apk tsb dan polisi harus cyduk ke alamat2 yg terdaftar di rekening2 yg di curigai nerima aliran dananya.
 Soalnya klo ga kayak gini bakalan di pertanyakan itu kredibilitas serta sistem keamanan bank tsb.",relevan,malware_apk,R2,4,
G337,"Kemenkum DIY Wanti-Wanti Penipuan AI, Deepfake dan Voice Cloning https://t.co/D0K8Ie5dNp https://t.co/N89NF8YJdE",relevan,deepfake_penipuan_ai,R5,3,
G338,"Entah kenapa setelah kebocoran data kemarin, Claude kayak stuck.",tidak_relevan,,,3,
G339,Para Korban Deepfake Vulgar Mahasiswa Untan: Teman hingga Pacar Sendiri https://t.co/Ot6NXcssAY,relevan,deepfake_penipuan_ai,R2,3,
G340,"Segera uninstall apk nya kak, supaya hacker tidak bisa mengakses SMS hp kk",relevan,malware_apk,R3,4,
G341,Pertanyaannya dari mana penipu itu tau data kita seperti nama dan no telp. Bukannya menuduh tapi biasanya dari pegawai bank juga yg bekerja sama dengan penipu yg membocorkan data nasabah.,relevan,peretasan_pencurian_identitas,R5,3,
G342,"Gara"" link akun game gratis 3 akunku di bajak semua tidak bisa di pulihkan bantulah saya yang bisa",tidak_relevan,,,4,
G343,"Waspada QRIS Palsu, BRI Imbau Masyarakat Jaga Keamanan Transaksi Lewat BRImerchant
https://t.co/OF4KCnakKX",relevan,penipuan_ewallet_qris,R3,5,
G344,Kalau tau lokasinya tinggal di laporkan saja ke polisi. soalnya saya juga pernah jadi korban si p3nipu atas nama bank besar di Indonesia,relevan,phishing_rekayasa_sosial,R2,3,
G345,bingung apa orng yg percaya ama judol😂,tidak_relevan,,,4,
G346,"Kalian enak hanya korban judi slot,belum tau batapa mengerikan judi casino.saya dulu 234jt dalam semalam kalah di casino",relevan,judi_online_pinjol,R1,3,
G347,Bikin laporan bos,tidak_relevan,,,5,
G348,jasa hack akun twt tuh berapa sib annay kira kira,relevan,peretasan_pencurian_identitas,R1,2,"user yang mencari jasa hack akun bisa jadi ingin mencari jasa tersebut untuk menghack akun miliknya sendiri yang dapat berupa lupa password atau sebagainya, tidak bisa sepenuhnya dianggap pelaku"
G349,"@kompascom lah kocak, qris palsu cenah.
Ini QRIS asli, cuman bukan punya mesjidnya. yg paling betul cuman no 5, cocokan nama dengan penerima. lebih baik uang cash!",relevan,penipuan_ewallet_qris,R2,3,
G350,Ini admin juga penipu demi konten lihat aja muka admin nya tampang muka licik ganteng sih lumayan tapi di balik ganteng nya menyimpan kelicikan,tidak_relevan,,,5,
G351,Semoga tranding ini biar yang masih main judol pada sadar,relevan,judi_online_pinjol,R3,4,
G352,"ᅠᅠ

ᅠ
AL.
MAaf, belum baca thread lengkap dan seluk-beluk masalah yang menimpa kamu, tapi sepertinya ini udah masuk ke ancaman doxxing, ranah kriminal. Tolong jangan mengancam demikian kepada siapa pun yang tidak melakukan hal kriminal. 
ᅠ

ᅠᅠ",relevan,peretasan_pencurian_identitas,R3,4,
G353,Iklan mu judol mas merahhhh,tidak_relevan,,,4,
G354,Polisi tangkap terduga pelaku penyebar QRIS palsu di kotak amal masjid. https://t.co/uUdhd3EV6l,relevan,penipuan_ewallet_qris,R2,3,
G355,"ai penipu buat akun baru alasannya akun lama kena sb, hati-hati ya gaisss #penipuonline https://t.co/BwZHRPXn1q",relevan,deepfake_penipuan_ai,R3,5,
G356,"Untuk mas marsel pesulap merah, Tolong mas, banyakin video kya gini, krena masih banyak yang blum sadar",tidak_relevan,,,5,
G357,"W lg d tahap depresi gara2 slot anj** krna yg gw cari bukan uangnya mungkin,krn setiap menang pun gk prnh gw nikmatin trus aj gw maenin lg ampe abis🥱🤪dn itu berulang trus sampe mental w skrng lg kena😭",relevan,judi_online_pinjol,R1,3,
